ticker,n_trades,matrix_avg_net_delta,matrix_sharpe,matrix_hit_rate,matrix_total_pnl,matrix_max_dd,baseline_avg_net_delta,baseline_sharpe,baseline_total_pnl,baseline_max_dd,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,buyhold_total_pnl,buyhold_max_dd,edge_vs_baseline,edge_vs_buyhold
HON,605,0.05859504132231405,0.8175530757017605,0.2396694214876033,0.5476480558258493,-0.11901706431448797,0.14999999999999997,1.7724861766856237,1.328944149726633,-0.2707146531622626,1.7724861766856235,0.5734913922343506,8.85962766484422,-1.804764354415088,-0.9549331009838632,-0.954933100983863
COST,605,0.06247933884297521,1.4060770709910106,0.2727272727272727,0.8387281940830883,-0.15099940582041513,0.14999999999999997,2.390007557015515,1.5149342451293506,-0.10243743255017956,2.3900075570155144,0.8118974244564312,10.09956163419567,-0.6829162170011944,-0.9839304860245042,-0.9839304860245037
WFC,605,0.04983471074380166,0.007695288875477157,0.19504132231404958,0.006503491160505637,-0.19182917697744756,0.14999999999999997,1.0020304722879052,1.107650589822168,-0.3511248035786789,1.0020304722879052,0.384253052381509,7.384337265481122,-2.3408320238578595,-0.9943351834124281,-0.9943351834124281
JPM,605,0.05148760330578513,0.3650058866652989,0.2231404958677686,0.31628365570463135,-0.16707557783181598,0.14999999999999997,1.3980428496114887,1.4585436994528642,-0.22553870777180146,1.398042849611489,0.536413938114145,9.723624663019095,-1.503591385145341,-1.03303696294619,-1.03303696294619
QCOM,605,0.054710743801652896,-0.08370717271655903,0.2545454545454545,-0.08848383223486583,-0.36152073375990623,0.14999999999999997,0.9581819881433578,1.2455607413177683,-0.2709074891879407,0.958181988143358,0.4261589756258742,8.30373827545179,-1.8060499279196014,-1.0418891608599168,-1.041889160859917
MA,603,0.05563847429519072,1.3515111227577938,0.25538971807628524,0.9474384515489856,-0.08301344440855185,0.15,2.4097923045921195,1.9357829435174734,-0.24093448583424215,2.40979230459212,0.9074372753479448,12.905219623449824,-1.606229905561614,-1.0582811818343256,-1.058281181834326
ADBE,605,0.06090909090909093,0.7605161734099536,0.256198347107438,0.6821394091414763,-0.2193823000956716,0.14999999999999997,1.848638229460262,1.7567033434480446,-0.3520482886533496,1.8486382294602612,0.437220246819448,11.71135562298696,-2.3469885910223436,-1.0881220560503082,-1.0881220560503078
PFE,605,0.05636363636363638,0.3948091846620955,0.23801652892561984,0.22316537363568073,-0.22098039011978282,0.14999999999999997,1.5160502153845294,0.9620642958315967,-0.16111028289950635,1.5160502153845297,0.2964634117360619,6.413761972210645,-1.0740685526633778,-1.1212410307224339,-1.121241030722434
C,605,0.05677685950413225,-0.19211702099520234,0.22644628099173553,-0.29837687962235043,-0.678604505332079,0.14999999999999997,0.9356560779891695,1.6111607014694938,-0.3569328905559356,0.9356560779891697,0.15960450352164265,10.741071343129962,-2.3795526037062364,-1.1277730989843717,-1.1277730989843722
PG,605,0.05578512396694215,0.3775650238813565,0.23140495867768596,0.19392990580727076,-0.2172776264556538,0.14999999999999997,1.5310820726992624,0.8195685326487283,-0.14645298730824163,1.531082072699262,0.4969738518262373,5.463790217658188,-0.97635324872161,-1.153517048817906,-1.1535170488179056
NKE,605,0.053388429752066126,0.30865788111523723,0.22975206611570248,0.2495723289342936,-0.33779453645433655,0.14999999999999997,1.4903477422887725,1.2888810468986631,-0.4131533325261052,1.4903477422887723,0.39883984897796343,8.592540312657754,-2.754355550174033,-1.1816898611735354,-1.1816898611735351
RTX,605,0.05586776859504133,0.049142777333783874,0.21983471074380165,0.03340800496763155,-0.32020081782512744,0.14999999999999997,1.2682992673219025,1.0422442813091501,-0.2631338828226941,1.2682992673219025,0.540981330017452,6.948295208727668,-1.7542258854846278,-1.2191564899881187,-1.2191564899881187
CAT,605,0.06727272727272728,0.496378400903477,0.2528925619834711,0.4750109127012584,-0.2698428753455048,0.14999999999999997,1.7279900340922243,2.001513418384776,-0.2894953884879021,1.727990034092225,0.662881061349825,13.343422789231841,-1.9299692565860092,-1.2316116331887472,-1.231611633188748
JNJ,605,0.06057851239669423,0.9283725334916112,0.30578512396694213,0.4998828791170687,-0.13990086608530106,0.14999999999999997,2.205296863573297,1.2134810713768593,-0.08952045418313848,2.2052968635732975,0.6273208058162743,8.089873809179062,-0.5968030278875904,-1.2769243300816857,-1.2769243300816862
PEP,605,0.05743801652892562,0.503863103712847,0.23140495867768596,0.24804987160661723,-0.14053188705710284,0.14999999999999997,1.8063933873891085,0.9819370238296312,-0.11105069238593701,1.8063933873891085,0.4905272693721986,6.546246825530876,-0.7403379492395814,-1.3025302836762616,-1.3025302836762616
SBUX,605,0.0634710743801653,1.0113905859034986,0.256198347107438,0.8016075196520716,-0.2332046170901249,0.14999999999999997,2.3246294121487248,2.091946151347672,-0.26353325007611184,2.3246294121487248,0.4870310422108228,13.946307675651143,-1.7568883338407346,-1.3132388262452261,-1.3132388262452261
AVGO,517,0.06847195357833656,0.7665380347946726,0.2727272727272727,0.7029161385493655,-0.2375715565946848,0.14999999999999997,2.0812745812335853,2.110401924662015,-0.18264710026940056,2.0812745812335853,1.0966751657421145,14.069346164413435,-1.2176473351293406,-1.3147365464389127,-1.3147365464389127
GOOGL,605,0.05578512396694215,0.7534332544859238,0.2545454545454545,0.7093384686668953,-0.2634406885532604,0.14999999999999997,2.167053573439017,2.0102527574441806,-0.14284444817287584,2.167053573439017,0.8008576462388703,13.401685049627869,-0.952296321152506,-1.4136203189530931,-1.4136203189530931
MSFT,605,0.05371900826446281,0.6600634686725384,0.2413223140495868,0.5064845351993906,-0.14660645527775928,0.14999999999999997,2.0851850532401084,1.6294959512420693,-0.21393324995055774,2.0851850532401084,0.658845682386977,10.863306341613796,-1.4262216663370495,-1.42512158456757,-1.42512158456757
KO,605,0.04983471074380166,0.21084059774952654,0.23636363636363636,0.11171623384646805,-0.2744537921014587,0.14999999999999997,1.662880860117018,0.9043351223211953,-0.1681488147208915,1.662880860117018,0.6090005942841497,6.0289008154746355,-1.1209920981392765,-1.4520402623674915,-1.4520402623674915
CRM,605,0.05239669421487604,0.30180269885836014,0.2115702479338843,0.28218787512789123,-0.3033170218214638,0.14999999999999997,1.7576589541950978,2.028779012170777,-0.3352250798741112,1.7576589541950975,0.6229878633940665,13.525193414471845,-2.2348338658273956,-1.4558562553367376,-1.4558562553367373
AAPL,605,0.06528925619834712,1.064577837419186,0.25950413223140495,1.018887380097218,-0.1718320020198406,0.14999999999999997,2.523160985627724,2.5187370035056187,-0.2972818774217323,2.5231609856277237,1.0086073701926521,16.79158002337079,-1.9818791828115474,-1.458583148208538,-1.4585831482085376
DIS,605,0.05528925619834711,0.052599403743731905,0.21322314049586777,0.03749670513668259,-0.32566813003794826,0.14999999999999997,1.5862915138224403,1.2950764084404818,-0.3446209892449812,1.5862915138224405,0.3852677753545515,8.633842722936546,-2.297473261633211,-1.5336921100787084,-1.5336921100787086
AMZN,605,0.05264462809917356,0.9431228114578041,0.2512396694214876,0.8761099298571935,-0.2021218063380581,0.14999999999999997,2.4811814385117708,2.779314265541064,-0.16091276319423287,2.4811814385117708,0.7676771304796551,18.52876177027376,-1.0727517546282197,-1.5380586270539667,-1.5380586270539667
LIN,605,0.05082644628099174,-0.11729310882081702,0.2231404958677686,-0.07053472704837166,-0.3479905930622756,0.14999999999999997,1.5425696621682758,0.9789179079702114,-0.18492480259585076,1.5425696621682763,0.6611093889368984,6.526119386468077,-1.2328320173056708,-1.659862770989093,-1.6598627709890934
TMO,605,0.06553719008264464,0.42151680120930635,0.24793388429752067,0.2702409205176416,-0.18732475726845135,0.14999999999999997,2.1021622720480657,1.650825004331732,-0.1915564669944012,2.1021622720480657,0.6452078722611739,11.005500028878213,-1.2770431132960116,-1.6806454708387593,-1.6806454708387593
UNH,605,0.062396694214876036,0.5126253298700699,0.2892561983471074,0.4433830620891066,-0.30221916150635886,0.14999999999999997,2.2189643717391165,2.070375204457381,-0.17749531761223114,2.218964371739117,0.5327032961424321,13.80250136304921,-1.1833021174148701,-1.7063390418690467,-1.7063390418690472
LOW,605,0.046198347107438024,-0.2450684665671644,0.22479338842975208,-0.24977633891055906,-0.5162473479859837,0.14999999999999997,1.5166974065079362,1.5514586882647636,-0.19535214238608395,1.5166974065079364,0.5094864159360877,10.343057921765093,-1.3023476159072274,-1.7617658730751007,-1.7617658730751007
HD,605,0.04611570247933885,0.2296228884432251,0.2462809917355372,0.16578818499243617,-0.22911854439494753,0.14999999999999997,2.148455917327667,1.7422456033208333,-0.18236099041217235,2.148455917327667,0.5891973526289215,11.614970688805556,-1.2157399360811514,-1.9188330288844417,-1.9188330288844417
V,587,0.04557069846678025,0.31347572189934797,0.21805792163543442,0.18457092965529875,-0.23861291835697235,0.14999999999999997,2.4006139153875288,1.7237811053626193,-0.21093095580661636,2.400613915387528,0.7858662175627876,11.491874035750794,-1.4062063720441067,-2.087138193488181,-2.08713819348818
