ticker,n_trades,matrix_sharpe,matrix_total_pnl,matrix_max_dd,matrix_avg_abs_nd,matrix_pct_flat,matrix_premium_sharpe,matrix_premium_total_pnl,variant_sharpe,variant_total_pnl,variant_max_dd,variant_avg_abs_nd,variant_pct_flat,variant2_sharpe,variant2_total_pnl,variant2_avg_abs_nd,baseline_sharpe,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,variant_vs_matrix,variant_vs_buyhold,variant2_vs_variant,variant2_vs_buyhold,matrix_premium_vs_matrix,matrix_premium_vs_buyhold,matrix_vs_buyhold
MSFT,729,0.6008722288532206,0.5064867492282735,-0.14660632221482062,0.06255144032921811,67.48971193415639,0.5803898202824068,0.4974867492282734,1.111638899265431,4.482216204454511,-1.1725707678579536,0.5704180158773128,0.0,0.9058389291486106,3.204927563808857,0.5105244589095074,1.7383549870310233,1.7383549870310233,0.6588456179539783,0.5107666704122104,-0.6267160877655924,-0.20579997011682027,-0.8325160578824127,-0.020482408570813737,-1.1579651667486166,-1.1374827581778026
PG,729,0.3438737251056804,0.1939289941542479,-0.2172782963400412,0.06796982167352539,64.74622770919068,0.3327954913228612,0.2044289941542478,0.8490990278645398,2.2700740981384238,-0.8732775158099724,0.5741217195810165,0.0,0.8490990278645398,2.2700740981384238,0.5741217195810165,1.2110368256596573,1.2110368256596569,0.4969737321021447,0.5052253027588595,-0.36193779779511703,0.0,-0.36193779779511703,-0.011078233782819191,-0.8782413343367956,-0.8671631005539765
WMT,729,0.614482160614149,0.35920226183651177,-0.13258773260627266,0.06344307270233196,66.80384087791495,0.5540196839213165,0.33670226183651175,1.0951124910284733,3.5982201219488537,-1.457252559340366,0.573367261419151,0.0,1.0951124910284733,3.5982201219488537,0.573367261419151,1.571912112816578,1.571912112816578,0.6094341262828196,0.48063033041432435,-0.47679962178810475,0.0,-0.47679962178810475,-0.060462476692832445,-1.0178924288952615,-0.9574299522024291
COST,729,1.2766714562477692,0.8387292058111004,-0.1509990540532956,0.06968449931412896,65.02057613168725,1.2098655005179304,0.8167292058111004,1.735768681314148,5.830247461688276,-0.6100880367839538,0.5785798814465858,0.0,1.735768681314148,5.830247461688276,0.5785798814465858,1.9839704261270155,1.9839704261270155,0.811897441417147,0.45909722506637873,-0.2482017448128675,0.0,-0.2482017448128675,-0.06680595572983883,-0.7741049256090851,-0.7072989698792462
LLY,729,1.166929615562003,0.9815948003073358,-0.1554055776332518,0.07777777777777778,61.72839506172839,1.1255416627533041,0.9635948003073356,1.5572376579414005,6.4479552997130725,-0.5454413411976127,0.5768652038059823,0.0,1.5572376579414005,6.4479552997130725,0.5768652038059823,1.8904424160154643,1.8904424160154638,0.7697671553751018,0.3903080423793974,-0.33320475807406336,0.0,-0.33320475807406336,-0.04138795280869889,-0.7649007532621597,-0.7235128004534608
DIS,729,0.04791750940328172,0.037496837173892544,-0.3256682616872438,0.06673525377229082,67.07818930041152,0.017745412709034115,0.013996837173892496,0.43044882941161666,1.7994780247728266,-2.576973060422168,0.5751505261653787,0.0,0.43044882941161666,1.7994780247728266,0.5751505261653787,1.0229957472371263,1.0229957472371263,0.3852677720336328,0.38253132000833495,-0.5925469178255096,0.0,-0.5925469178255096,-0.030172096694247603,-1.005250334528092,-0.9750782378338445
HON,729,0.7439433335727145,0.5476469692131025,-0.11901698957598239,0.0639917695473251,67.48971193415639,0.733222836573303,0.5441469692131025,1.123800403523111,3.8386106801819366,-1.1955025166242426,0.5736416098416476,0.0,1.123800403523111,3.8386106801819366,0.5736416098416476,1.539296638313523,1.5392966383135231,0.5734914602416951,0.3798570699503966,-0.4154962347904121,0.0,-0.4154962347904121,-0.010720496999411466,-0.8060738017402201,-0.7953533047408087
META,565,0.8571151646399864,0.6148621937660858,-0.19179277477497836,0.046106194690265494,75.04424778761062,0.9204900065024518,0.6653621937660857,1.2365461782384368,5.866747325110598,-1.345038976996527,0.5777619605299187,0.0,1.013773106857946,4.340048903462812,0.507938597610783,1.1164701106227868,1.1164701106227866,0.6974798859238021,0.37943101359845044,0.12007606761565026,-0.22277307138049074,-0.10269700376484048,0.06337484186246545,-0.19598010412033473,-0.2593549459828002
JPM,729,0.3324429104032837,0.316284169008865,-0.16707552767353717,0.06001371742112484,69.41015089163237,0.2343385834218838,0.21878416900886502,0.6878372002843722,3.4445066544424305,-1.3133324851716668,0.5703494287716887,0.0,0.6878372002843722,3.4445066544424305,0.5703494287716887,1.3278000729499295,1.3278000729499295,0.5364139191533133,0.3553942898810885,-0.6399628726655573,0.0,-0.6399628726655573,-0.09810432698139993,-1.0934614895280457,-0.9953571625466457
MCD,729,1.252899329311846,0.7788171263154158,-0.1469757376488155,0.07544581618655692,63.10013717421125,1.0822785610633598,0.6938171263154158,1.6001579126425118,4.581228325830694,-0.5794722233794685,0.5752877003766269,0.0,1.6001579126425118,4.581228325830694,0.5752877003766269,1.697128898671337,1.697128898671337,0.7271222549381177,0.34725858333066584,-0.09697098602882526,0.0,-0.09697098602882526,-0.17062076824848615,-0.6148503376079772,-0.4442295693594911
BA,729,0.6078657632057576,0.6187635250731927,-0.36530466139219103,0.06680384087791495,65.70644718792867,0.5441274232321381,0.5557635250731925,0.9535065248112452,4.859127318815402,-1.6779786279062714,0.5717211708841715,0.0,0.9535065248112452,4.859127318815402,0.5717211708841715,1.2049125759124049,1.2049125759124049,0.4094003215265894,0.3456407616054876,-0.25140605110115966,0.0,-0.25140605110115966,-0.06373833997361944,-0.6607851526802667,-0.5970468127066473
QCOM,729,-0.07625397187377257,-0.08848198213664445,-0.36152081929559615,0.07078189300411523,64.19753086419753,-0.07454841337486959,-0.0874819821366445,0.22966944882662643,1.2767866081184396,-1.5439770423611314,0.5715839966729233,0.0,0.27240104534395754,1.4657060616938062,0.5115573981863857,0.7203588828308014,0.7203588828308014,0.42615896780804735,0.305923420700399,-0.490689434004175,0.042731596517331105,-0.44795783748684387,0.0017055584989029843,-0.794907296205671,-0.796612854704574
MRK,729,1.0129044140390058,0.7173694535087328,-0.18887698353731788,0.06796982167352539,64.19753086419753,1.0071510749231627,0.7328694535087328,1.306947572167114,4.498845358586823,-0.7696976289606096,0.5746018293203855,0.0,1.306947572167114,4.498845358586823,0.5746018293203855,1.5165695417385046,1.5165695417385041,0.5422879213606469,0.2940431581281082,-0.20962196957139012,0.0,-0.20962196957139012,-0.005753339115843081,-0.5094184668153414,-0.5036651276994983
AMD,729,0.7457380414755084,1.9715003773298214,-0.4998271438599844,0.07400548696844994,63.37448559670782,0.7457332707424608,1.991000377329822,1.0029007651619832,11.868363910011581,-3.4759382610401452,0.5766594424891098,0.0,0.8096040200871877,8.454825841316843,0.5179131172265777,1.4191720190043675,1.4191720190043677,0.5476580447683964,0.25716272368647486,-0.4162712538423845,-0.19329674507479555,-0.60956799891718,-4.7707330476098875e-06,-0.673438748261907,-0.6734339775288594
CVX,729,0.15360167241442985,0.12191975492306473,-0.3054394417761517,0.06673525377229082,65.4320987654321,0.11705314987098321,0.09341975492306473,0.4010244135279161,1.6140272502968473,-1.4622381885907678,0.5744646551091372,0.0,0.4010244135279161,1.6140272502968473,0.5744646551091372,0.9819941885030138,0.9819941885030138,0.4961870512012294,0.24742274111348628,-0.5809697749750977,0.0,-0.5809697749750977,-0.036548522543446635,-0.8649410386320305,-0.8283925160885839
CAT,729,0.4520085246150014,0.4750111795975879,-0.2698425461738214,0.07283950617283952,62.68861454046639,0.37877858466264097,0.3960111795975879,0.6942092590482739,3.8346539693298167,-1.803195841698796,0.5800202106646929,0.0,0.6942092590482739,3.8346539693298167,0.5800202106646929,1.5451264227919803,1.545126422791981,0.66288088109719,0.2422007344332725,-0.8509171637437071,0.0,-0.8509171637437071,-0.07322993995236043,-1.16634783812934,-1.0931178981769796
